21131	14.9417925
1469	13.648403
23844	13.463626
49430	13.121981
42893	11.376087
4281	11.075821
70932	10.715593
130	10.601307
220	10.601307
2886	10.237531
115629	9.888583
115755	9.888583
42519	9.888583
112965	9.76974
42418	9.76067
1495	9.683714
23067	9.681037
23662	9.631611
46373	9.453581
28613	9.379281
45254	9.0762415
13035	9.030455
99640	8.846248
26291	8.765148
114055	8.631164
115843	8.631164
40316	8.59677
40972	8.59677
41833	8.59677
42897	8.59677
14198	8.514984
113	8.474672
7663	8.474672
1642	8.240594
28715	8.240594
6103	8.055184
94531	7.7752795
94564	7.708317
40267	7.5458493
4474	7.5458493
498	7.5458493
20962	7.514174
27925	7.478771
119092	7.359706
130494	7.359706
114762	7.299681
115297	7.299681
49426	6.878913
2779	6.8525805
2164	6.800514
70114	6.7986426
42241	6.774777
2324	6.7238817
45962	6.7238817
92399	6.7238817
36507	6.456072
47092	6.456072
90138	6.456072
11933	6.4108367
48825	6.38796
48832	6.38796
26877	6.1891823
26932	6.1891823
29361	6.1891823
40268	6.167857
4475	6.167857
499	6.167857
282	6.125644
10972	5.807663
21135	5.786492
40263	5.7149553
4470	5.7149553
494	5.7149553
42258	5.6854115
13268	5.6251626
130863	5.555333
8775	5.4537816
26795	5.308229
286	5.1553545
13319	5.053478
112980	4.914732
46313	4.9012756
16471	4.7962184
49423	4.757973
25853	4.4174695
26809	4.385006
4026	4.353016
21122	4.3214903
94850	4.1899924
21127	4.122447
44089	4.057045
10947	4.0387383
11765	2.7072055
12886	2.7072055
